feature,importance
num__gpa,0.3469486493918816
num__graduation_year,0.11215456576066925
cat__internship_experience_Yes,0.033665268985686315
cat__internship_experience_No,0.029468238321223215
cat__major_Criminology,0.025552215078481412
cat__degree_Bachelor of Science in Nursing,0.022789984698166278
cat__major_Nursing,0.02014895328768699
cat__major_Public Administration,0.01780118072686798
cat__degree_Bachelor of Public Administration,0.017786460372643177
cat__major_General Education,0.015605770555700817
cat__major_English,0.014983051752140129
cat__major_Mathematics,0.014655493026458211
cat__degree_Bachelor of Elementary Education,0.014335324288121678
cat__degree_Bachelor of Science in Criminology,0.01311812830575793
cat__major_Agronomy,0.012644992965374397
cat__degree_Bachelor of Science in Agriculture,0.011226978309145895
cat__skills_General Skills,0.011088800420425966
cat__major_Political Science,0.01034792509923479
cat__major_Animal Science,0.01028693042279196
cat__major_Electronics Technology,0.009853737462898025
cat__gender_Female,0.009575660480301822
cat__gender_Male,0.00954837157647409
cat__major_Computer Science,0.009256624450128308
cat__major_Automotive Technology,0.008917425456325059
cat__degree_Bachelor of Arts,0.008827411759987356
cat__degree_Bachelor of Industrial Technology,0.008723791756894665
num__num_skills,0.008662286926732331
cat__major_Biology,0.008030459784627438
cat__major_Communication,0.007666389941131957
cat__major_Filipino,0.0076506454575212875
cat__degree_Bachelor of Secondary Education,0.007552978396096145
cat__major_Information Technology,0.007146363014838841
cat__degree_Bachelor of Science,0.006973491963229341
cat__major_Electrical Technology,0.006610469455712037
cat__major_Social Studies,0.006334103936476322
"cat__skills_Law Enforcement, Crime Scene Investigation",0.005221854821776962
"cat__skills_Budgeting, Governance",0.005155292298207333
cat__major_Physics,0.005097489953237974
"cat__skills_Animal Care, Feeding Management",0.0044854015639791195
"cat__skills_Crime Scene Investigation, Law Enforcement",0.004140110423548772
"cat__skills_Governance, Budgeting",0.004042015835125105
cat__major_Science,0.0038676510275070797
"cat__skills_Crop Management, Soil Analysis",0.0034802501548733423
"cat__skills_Geography, History",0.0027837642581860864
"cat__skills_Feeding Management, Animal Care",0.0026889203178243255
"cat__skills_Microcontrollers, Soldering",0.002459901476761403
"cat__skills_Soil Analysis, Crop Management",0.002376257718816548
"cat__skills_Diagnostics, Engine Repair",0.002303360121272961
